Reel Number,Text
1,Lip par kiss to sab karte he Me vaha kiss chahti hoon jaha ki fragrance natural ho
2,Dood pilauge ya niche ka pani 
3,Aurat agar dene jaay par aa to Mard ke liye shilajeet bhi kam pad jati he 
4,Pasandida mard ke liye 10 mint jhukne se chhoti thodi ho jaungi
5,Lipstick me ganjha milaker pne e bande ko kiss kar li Ab bol rha he bada nasha he tumhare hoton me 
6,ka kya karungi pink mard ne kala hi Pasndida to pyaar se le diya de liya 
7,32 danto ke beech mard apna Aujar de deta he Aur ladkia kehti he ladko bharosa par nahi 
8,Samajhdar hoon isiliye hant hoon Werna tumse jayada a hwasi hoon 
9,he Jo Asli pyar WO bhi chalti pasine AC me nikal de 
10,Sara qissa 2 bund ka he Koi bahar nikalne ko tadap raha he Aur koi ander lene ko taras raha he 
11,Aajkal ke ladko ke ander itni takat kaha ki kisi ladki ko god me uthakar bina roke karta rahe 
12,ab aurat aurat me ladai hoti nein Tab pata chalta he kisne kaha karwaya hein 
13,Pasandida mard ke liye 10 mint jhhukne me kaisi sharm 
14,Pyaar andha hota he Isiliye andhere me kiya jata hein 
15,Pehli baar dalbate samay ladkio ko vaad kyu nahi aata Papa nahi manege Padhai par focus karna he 
16,Tum kamre ki light off kar dena Baki me sab bata dungi kaisa karna hein e Follow anshusharma546
17,leta Mard apni aurat ka ddh to pee he Phir uss ddh ka karz use apni jamai hui dahi dekar utarna padta he Follow anshusharma546
18,Auarat agar tumhari lene par aa jay To yakeen mano Shilajeet to kya Neeli goli bhi fail ho jaay Follow anshusharma546
19,Dekhne me chhoti lagti hoon Iska matlab ye nahi ki jhel nahi paungi Follow anshusharma546
20,Oy0 to bacche jate he Yaha to ghar se acha hisab hi nahi Follow anshusharma546
21,1 Kya ye sach he Husband raat ko apni wife ko punishment deta hein Follow anshusharma546
22,Aurat ka badan tabhi nikharta he Jab koi mard use ache se masle aur ragadna shru kare Follow anshusharma546
23,Moti bhabhiyo se ek fayda aur hota he Bharpet dudh peene ko milta hein Follow anshusharma546
24,Lene ka mann to mera bhi karta he Lekin mein kahungi nahi Follow anshusharma546
25,Duniya ka sabse bada Punye ka kaam Kisi kamuk stree ka pyas bujhana he Follow anshusharma546
